CRUKP2986-ST_5_R4	CRUKP2986-LN_7_R1	CRUKP2986-LI_1_R1	CRUKP2986-LNa_1_R1	CRUKP2986-SC_1_R1	CRUKP2986-LN_1_R1	CRUKP2986-LN_1_R3	CRUKP2986-LN_2_R1	CRUKP2986-ST_5_R1	CRUKP2986-PV_1_R2	CRUKP2986-ST_2_R2	CRUKP2986-ST_4_R1	CRUKP2986-LN_6_R1	CRUKP2986-ST_5_R2	CRUKP2986-LI_3_R1	CRUKP2986-PV_1_R1	CRUKP2986-ST_9_R1	CRUKP2986-ST_1_R5	CRUKP2986-PR_1_R1	CRUKP2986-ST_1_R1	CRUKP2986-ST_1_R3	CRUKP1842-BR_5_R1	CRUKP1842-BR_7_R1	CRUKP1842-LU_1_R1	CRUKP1842-BR_13_R1	CRUKP1842-BR_12_R1	CRUKP1842-BR_4_R1	CRUKP1842-LU_1_R2	CRUKP1842-BR_8_R1	CRUKP2567-BR_1_R1	CRUKP2567-PR_1_R1	CRUKP2567-PR_1_R2	CRUKP2567-LU_1_R1	CRUKP2567-PC_1_R1	CRUKP2567-LN_4_R3	CRUKP2567-LU_4_R2	CRUKP2567-LN_1_R3	CRUKP2567-PLFa_1_R1	CRUKP2567-LN_2_R1	CRUKP2567-LU_9_R1	CRUKP2567-LU_9_R2	CRUKP2567-DI_2_R2	CRUKP9097-PC_1_R1	CRUKP9097-LMS_1_R1	CRUKP9097-LMS_2_R2	CRUKP9097-BR_8_R1	CRUKP9097-BR_11_R1	CRUKP9097-BR_13_R1	CRUKP9097-LU_2_R1	CRUKP9097-SC_1_R1	CRUKP9097-BR_3_R2	CRUKP9097-LU_5_R1	CRUKP6216-LU_13_R2	CRUKP6216-LU_17_R3	CRUKP6216-LI_18_R1	CRUKP6216-PR_1_R2	CRUKP6216-LI_23_R1	CRUKP6216-PR_1_R1	CRUKP6216-LI_12_R1	CRUKP6746-BR_2_R1	CRUKP1599-LU_1_R1	CRUKP6216-PE_1_R1	CRUKP6216-LU_3_R1	CRUKP6216-LN_1_R1	CRUKP6216-LI_2_R1	CRUKP6746-BR_1_R1	CRUKP1599-STa_1_R1	CRUKP6216-LU_7_R1	CRUKP6746-ST_1_R1	CRUKP6746-ST_1_R2	CRUKP6746-ST_2_R1	CRUKP1599-LNa_2_R2	CRUKP1599-STa_2_R1	CRUKP1599-BRa_1_R1	CRUKP1599-BRa_1_R2	CRUKP1599-LU_1_R3	CRUKP1599-LNa_2_R1	CRUKP1599-LN_1_R2	CRUKP1599-LN_1_R6	CRUKP1599-LN_1_R7	CRUKP1599-LN_1_R8	CRUKP1599-LI_1_R1	CRUKP1599-LI_7_R1	CRUKP1599-LN_1_R3	CRUKP1599-LI_8_R1	CRUKP1614-PE_2_R1	CRUKP1614-PE_2_R5	CRUKP1614-ME_1_R1	CRUKP1614-PE_2_R12	CRUKP1614-LN_4_R1	CRUKP1614-ON_1_R1	CRUKP1614-BR_2_R1	CRUKP1614-LN_1_R1	CRUKP1614-BR_1_R1	CRUKP6553-AD_1_R1	CRUKP6553-SP_1_R1	CRUKP6553-LI_1_R1	CRUKP6553-LI_4_R2	CRUKP6553-ST_4_R1	CRUKP6553-ST_7_R1	CRUKP6553-LNa_1_R4	CRUKP1614-BRa_1_R1	CRUKP6553-LI_4_R1	CRUKP1614-BRa_1_R2	CRUKP6553-LNa_1_R3	CRUKP6553-LNa_1_R1	CRUKP5107-LU_2_R1	CRUKP6553-STa_1_R1	CRUKP6553-LNa_2_R1	CRUKP6553-LNa_2_R2	CRUKP5107-LU_2_R2	CRUKP6553-LNa_2_R3	CRUKP5107-ST_2_R4	CRUKP5107-LU_2_R3	CRUKP5107-ST_4_R5	CRUKP5107-ST_1_R3	CRUKP5107-LI_3_R2	CRUKP9359-SP_2_R1	CRUKP9359-DI_4_R1	CRUKP5107-LU_3_R2	CRUKP5107-LI_10_R1	CRUKP5107-ST_2_R2	CRUKP5107-PC_1_R1	CRUKP5107-BR_1_R1	CRUKP5107-ST_4_R6	CRUKP9359-PR_1_R3	CRUKP2378-LN_1_R1	CRUKP2378-SP_1_R1	CRUKP2378-LI_9_R2	CRUKP2378-LI_19_R1	CRUKP2378-LI_20_R1	CRUKP9359-PR_1_R1	CRUKP2378-LI_3_R2	CRUKP9359-LI_1_R1	CRUKP9359-LN_1_R1	CRUKP9359-LU_4_R1	CRUKP9359-LU_6_R1	CRUKP9359-AD_1_R2	CRUKP9359-PA_1_R1	CRUKP9359-LI_3_R1	CRUKP9359-PR_1_R2	CRUKP2378-LI_29_R1	CRUKP2378-PR_1_R1	CRUKP2378-PR_1_R4	CRUKP2378-LI_3_R1	CRUKP2378-PR_1_R2	CRUKP2378-PR_1_R3	CRUKP2378-LN_6_R2	CRUKP2378-LN_3_R1	CRUKP1047-LI_4_R1	CRUKP1047-AD_1_R3	CRUKP1047-MU_2_R2	CRUKP1047-LN_2_R1	CRUKP1047-LU_5_R1	CRUKP1047-AD_3_R2	CRUKP1047-BO_1_R1	CRUKP1047-LU_6_R1	CRUKP6170-LI_2_R1	CRUKP6170-LI_3_R1	CRUKP6170-LI_3_R2	CRUKP6170-LI_3_R3	CRUKP6170-LI_4_R1	CRUKP6170-PI_1_R1	CRUKP6170-PR_2_R1	CRUKP6170-LI_1_R1	CRUKP6170-PR_1_R1	CRUKP6170-PR_2_R1-1	CRUKP1047-BR_2_R1	CRUKP6170-PI_1_R1-1
B2M	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	Mut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	noMut-LOH	Mut-LOH
CALR	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	Mut-LOH	noMut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH
CANX	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	Mut-LOH	Mut-LOH	Mut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH
CIITA	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	Mut-LOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-LOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	Mut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	Mut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	Mut-noLOH	noMut-noLOH	noMut-noLOH	Mut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH
ERAP1	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH
ERAP2	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	Mut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH
HLA-A	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-LOH	noMut-LOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH	noMut-noLOH
