Sample	Patient	KIT_total_CN	KIT_TPM
CRUKP2378_LI_9_R2	Other	2.0797	0.230736
CRUKP2378_LI_20_R1	Other	1.9918	0.44107
CRUKP2378_LI_3_R1	Other	2.0071	0.521562
CRUKP2378_LI_3_R2	Other	2.0741	0.68213
CRUKP2378_SP_1_R1	Other	2.0565	1.010993
CRUKP2378_LN_3_R1	Other	2.0231	1.443704
CRUKP1047_MU_2_R2	Other	1.9821	0.080832
CRUKP1047_LI_4_R1	Other	4.1334	0.158127
CRUKP1047_BR_2_R1	Other	4.023	0.35575
CRUKP1047_AD_3_R2	Other	3.71372	0.37607
CRUKP1047_LN_2_R1	Other	1.9062	0.437667
CRUKP1047_AD_1_R3	Other	1.956	0.690901
CRUKP1047_LU_6_R1	Other	1.9867	2.135945
CRUKP1047_LU_5_R1	Other	1.991	2.817365
CRUKP6170_LI_1_R1	Other	4.9168	4.655241
CRUKP6170_LI_3_R2	Other	5.4214	5.082586
CRUKP6170_LI_3_R1	Other	4.9258	5.158942
CRUKP6170_LI_3_R3	Other	4.8898	11.259006
CRUKP6170_LI_4_R1	Other	3.1785	17.787889
CRUKP6170_LI_2_R1	Other	4.12005	20.60832
