CRUKP2986-PR_1_R1	CRUKP2986-LI_1_R1	CRUKP2986-LI_36	CRUKP2986-LNa_1_R1	CRUKP2986-LN_2_R1	CRUKP2986-LN_7_R1	CRUKP2986-LN_27	CRUKP2986-LN_25	CRUKP2986-ST_4_R1	CRUKP2986-ST_2_R2	CRUKP2986-ST_1_R1	CRUKP2986-ST_5_R2	CRUKP2986-ST_22	CRUKP2986-ST_8	CRUKP2986-ST_19	CRUKP2986-SC_1_R1	CRUKP2986-PV_1_R2	CRUKP2986-PV_1_R1	CRUKP2986-SC_15	CRUKP2986-LI_3_R1	CRUKP2986-LN_1_R1	CRUKP2986-LN_1_R3	CRUKP2986-LN_17	CRUKP2986-ST_1_R3	CRUKP2986-ST_5_R1	CRUKP2986-ST_1_R5	CRUKP2986-ST_12	CRUKP2986-ST_10	CRUKP2986-ST_31	CRUKP2986-PV_1_R4	CRUKP2986-ST_5_R4	CRUKP2986-LN_6_R1	CRUKP2986-ST_9_R1	CRUKP2986-ST_6	CRUKP2986-SC_14	CRUKP1842-LI_R9	CRUKP1842-BR_8_R1	CRUKP1842-BR_16_R1	CRUKP1842-BR_6_R1	CRUKP1842-BR_8_R1w	CRUKP1842-LU_1_R1	CRUKP1842-LU_1_R2	CRUKP1842-BR_13_R1	CRUKP1842-BR_12_R1	CRUKP1842-BR_4_R1	CRUKP1842-BR_7_R1	CRUKP1842-BR_5_R1	CRUKP2567-PR_1_R2	CRUKP2567-PR_1_R1	CRUKP2567-LU_1_R2	CRUKP2567-LU_2_R3	CRUKP2567-LN_4_R2	CRUKP2567-BR_1_R1	CRUKP2567-BR_1_R2	CRUKP2567-BR_1_R3	CRUKP2567-LU_9_R2	CRUKP2567-LU_1_R1	CRUKP2567-LU_9_R1	CRUKP2567-LU_4_R2	CRUKP2567-LU_6_R1	CRUKP2567-LU_3_R1	CRUKP2567-LU_5_R1	CRUKP2567-LU_6_R2	CRUKP2567-LN_4_R3	CRUKP2567-LN_1_R3	CRUKP2567-LN_2_R1	CRUKP2567-LN_4_R1	CRUKP2567-LN_5_R2	CRUKP2567-LN_1_R2	CRUKP2567-LN_5_R1	CRUKP2567-LN_2_R4	CRUKP2567-LN_1_R4	CRUKP2567-LN_1_R5	CRUKP2567-LN_1_R1	CRUKP2567-LN_2_R2	CRUKP2567-LN_3_R2	CRUKP2567-DI_2_R2	CRUKP2567-DI_2_R4	CRUKP2567-DI_2_R3	CRUKP2567-LU_7_R1	CRUKP2567-LU_2_R2	CRUKP2567-PC_1_R1	CRUKP2567-PC_1_R2	CRUKP2567-PLFa_1_R1	CRUKP2567-LU_2_R1	CRUKP2567-LN_2_R3	CRUKP9097-LU_2_R1	CRUKP9097-LU_5_R1	CRUKP9097-LU_6_R1	CRUKP9097-LU_1_R1	CRUKP9097-LU_4_R1	CRUKP9097-LU_7_R1	CRUKP9097-LN_2_R1	CRUKP9097-BR_11_R1	CRUKP9097-BR_13_R1	CRUKP9097-BR_4_R1	CRUKP9097-BR_7_R1	CRUKP9097-BR_6_R1	CRUKP9097-BR_10_R1	CRUKP9097-BR_2_R1	CRUKP9097-BR_9_R1	CRUKP9097-BR_12_R1	CRUKP9097-LMS_1_R1	CRUKP9097-LMS_2_R2	CRUKP9097-LMS_2_R3	CRUKP9097-LMS_2_R1	CRUKP9097-PC_1_R1	CRUKP9097-SC_1_R1	CRUKP9097-SC_3_R1	CRUKP9097-DI_1_R1	CRUKP9097-BE_1_R1	CRUKP9097-BR_3_R2	CRUKP9097-BR_8_R1	CRUKP9097-BR_3_R1	CRUKP9097-BR_1_R1	CRUKP9097-BR_5_R1	CRUKP6216-PR_1_R1	CRUKP6216-PR_1_R2	CRUKP6216-LI_18_R1	CRUKP6216-LI_12_R1	CRUKP6216-LI_23_R1	CRUKP6216-LI_19_R1	CRUKP6216-LI_14_R1	CRUKP6216-LI_21_R1	CRUKP6216-LI_25_R1	CRUKP6216-LI_11_R2	CRUKP6216-LI_6_R1	CRUKP6216-LI_26_R1	CRUKP6216-LI_9_R1	CRUKP6216-LI_19_R2	CRUKP6216-LI_16_R1	CRUKP6216-LI_12_R2	CRUKP6216-LI_22_R2	CRUKP6216-LI_22_R1	CRUKP6216-LI_4_R1	CRUKP6216-LI_13_R1	CRUKP6216-LI_17_R1	CRUKP6216-LI_20_R1	CRUKP6216-LI_25_R2	CRUKP6216-LU_13_R2	CRUKP6216-LU_7_R1	CRUKP6216-LU_17_R3	CRUKP6216-LU_18_R1	CRUKP6216-LU_9_R1	CRUKP6216-LU_10_R1	CRUKP6216-LU_20_R1	CRUKP6216-LU_14_R1	CRUKP6216-LU_2_R1	CRUKP6216-LU_16_R1	CRUKP6216-LU_7_R2	CRUKP6216-LU_16_R2	CRUKP6216-LU_5_R1	CRUKP6216-LU_7_R4	CRUKP6216-LU_12_R1	CRUKP6216-LU_18_R2	CRUKP6216-LU_17_R1	CRUKP6216-LU_17_R2	CRUKP6216-LU_8_R1	CRUKP6216-LU_1_R1	CRUKP6216-LN_1_R1	CRUKP6216-LN_2_R1	CRUKP6216-LN_3_R1	CRUKP6216-PE_1_R1	CRUKP6216-LI_1_R1	CRUKP6216-LI_28_R1	CRUKP6216-LU_7_R3	CRUKP6216-LU_6_R1	CRUKP6216-LU_11_R1	CRUKP6216-LI_7_R1	CRUKP6216-LU_13_R1	CRUKP6216-LU_8_R2	CRUKP6216-LU_6_R2	CRUKP6216-LI_2_R1	CRUKP6216-LI_8_R1	CRUKP6216-LI_27_R1	CRUKP6216-LU_3_R1	CRUKP6746-ST_1_R1	CRUKP6746-ST_2_R1	CRUKP6746-ST_1_R2	CRUKP6746-BR_1_R1	CRUKP6746-BR_2_R1	CRUKP1599-LU_1_R3	CRUKP1599-LU_1_R4	CRUKP1599-LNa_2_R1	CRUKP1599-LNa_2_R2	CRUKP1599-STa_2_R1	CRUKP1599-STa_1_R1	CRUKP1599-BRa_1_R2	CRUKP1599-BRa_1_R1	CRUKP1599-LU_1_R1	CRUKP1599-LN_1_R4	CRUKP1599-LI_7_R1	CRUKP1599-LI_8_R1	CRUKP1599-LI_3_R1	CRUKP1599-LI_4_R1	CRUKP1599-LI_5_R1	CRUKP1599-LN_1_R7	CRUKP1599-LN_1_R8	CRUKP1599-LN_1_R3	CRUKP1599-LN_1_R2	CRUKP1599-LU_1_R2	CRUKP1599-LI_1_R1	CRUKP1599-LN_1_R6	CRUKP1599-LN_1_R10	CRUKP1614-LN_4_R1	CRUKP1614-LN_1_R1	CRUKP1614-LN_4_R2	CRUKP1614-LN_4_R3	CRUKP1614-BR_1_R1	CRUKP1614-BR_2_R1	CRUKP1614-BRa_1_R2	CRUKP1614-BRa_1_R1	CRUKP1614-BR_3_R1	CRUKP1614-PE_2_R5	CRUKP1614-PE_2_R12	CRUKP1614-PE_2_R1	CRUKP1614-PE_2_R7	CRUKP1614-PE_2_R8	CRUKP1614-PE_2_R2	CRUKP1614-PE_2_R4	CRUKP1614-PE_2_R9	CRUKP1614-ON_1_R1	CRUKP1614-ME_1_R1	CRUKP1614-GA_1_R4	CRUKP1614-GA_1_R3	CRUKP1614-ME_1_R2	CRUKP1614-GA_1_R2	CRUKP1614-GA_1_R1	CRUKP1614-PE_2_R3	CRUKP6553-LNa_1_R3	CRUKP6553-LI_4_R1	CRUKP6553-LI_4_R2	CRUKP6553-LI_1_R1	CRUKP6553-LI_7_R1	CRUKP6553-LI_1_R2	CRUKP6553-LI_6_R1	CRUKP6553-LI_8_R1	CRUKP6553-LI_5_R1	CRUKP6553-LI_2_R1	CRUKP6553-LI_3_R1	CRUKP6553-LNa_1_R4	CRUKP6553-LNa_1_R1	CRUKP6553-LNa_2_R2	CRUKP6553-LNa_2_R3	CRUKP6553-LNa_2_R1	CRUKP6553-STa_1_R1	CRUKP6553-ST_7_R1	CRUKP6553-ST_4_R1	CRUKP6553-ST_7_R3	CRUKP6553-ST_2_R1	CRUKP6553-ST_6_R1	CRUKP6553-AD_1_R1	CRUKP6553-SP_1_R1	CRUKP6553-SP_2_R1	CRUKP6553-ME_1_R1	CRUKP6553-BO_3_R1	CRUKP6553-BO_2_R1	CRUKP6553-ME_2_R1	CRUKP6553-LU_2_R1	CRUKP6553-LN_1_R1	CRUKP6553-ST_3_R1	CRUKP6553-BO_5_R1	CRUKP6553-BO_1_R1	CRUKP6553-LU_3_R1	CRUKP5107-LI_3_R2	CRUKP5107-LI_10_R1	CRUKP5107-LI_2_R2	CRUKP5107-LI_6_R1	CRUKP5107-LI_10_R2	CRUKP5107-LI_4_R2	CRUKP5107-LI_1_R1	CRUKP5107-LI_12_R2	CRUKP5107-LI_10_R3	CRUKP5107-LI_11_R1	CRUKP5107-LI_12_R1	CRUKP5107-LI_8_R1	CRUKP5107-LI_4_R1	CRUKP5107-LI_7_R1	CRUKP5107-LI_5_R1	CRUKP5107-LI_3_R1	CRUKP5107-LI_2_R1	CRUKP5107-LI_4_R3	CRUKP5107-LU_3_R2	CRUKP5107-LU_2_R1	CRUKP5107-LU_2_R3	CRUKP5107-LU_2_R2	CRUKP5107-LU_4_R1	CRUKP5107-LU_1_R1	CRUKP5107-LU_3_R1	CRUKP5107-LN_1_R1	CRUKP5107-ST_2_R2	CRUKP5107-ST_1_R3	CRUKP5107-ST_4_R5	CRUKP5107-ST_4_R6	CRUKP5107-ST_2_R4	CRUKP5107-ST_2_R3	CRUKP5107-ST_4_R2	CRUKP5107-ST_2_R1	CRUKP5107-ST_1_R2	CRUKP5107-ST_4_R3	CRUKP5107-ST_4_R4	CRUKP5107-BR_1_R1	CRUKP5107-AD_1_R1	CRUKP5107-PC_1_R1	CRUKP5107-ME_1_R1	CRUKP9359-PR_1_R1	CRUKP9359-PR_1_R3	CRUKP9359-PR_1_R2	CRUKP9359-LI_3_R1	CRUKP9359-LI_1_R1	CRUKP9359-LI_4_R1	CRUKP9359-LI_2_R1	CRUKP9359-LU_1_R1	CRUKP9359-LU_2_R1	CRUKP9359-LU_3_R1	CRUKP9359-LN_1_R1	CRUKP9359-LN_2_R1	CRUKP9359-LN_3_R1	CRUKP9359-PE_4_R1	CRUKP9359-PE_1_R1	CRUKP9359-PE_3_R1	CRUKP9359-PE_2_R1	CRUKP9359-AD_1_R2	CRUKP9359-AD_1_R1	CRUKP9359-SP_2_R1	CRUKP9359-DI_4_R1	CRUKP9359-SP_3_R1	CRUKP9359-SP_1_R1	CRUKP9359-PC_1_R1	CRUKP9359-ME_3_R1	CRUKP9359-ME_1_R1	CRUKP9359-ME_2_R1	CRUKP9359-PA_1_R1	CRUKP9359-LU_6_R1	CRUKP9359-LU_4_R1	CRUKP9359-DI_5_R1	CRUKP2378-PR_1_R1	CRUKP2378-PR_1_R2	CRUKP2378-PR_1_R4	CRUKP2378-PR_1_R3	CRUKP2378-LI_3_R1	CRUKP2378-LI_3_R2	CRUKP2378-LI_19_R1	CRUKP2378-LI_20_R1	CRUKP2378-LI_9_R2	CRUKP2378-LI_29_R1	CRUKP2378-LI_25_R1	CRUKP2378-LI_14_R1	CRUKP2378-LI_8_R1	CRUKP2378-LI_6_R1	CRUKP2378-LI_10_R1	CRUKP2378-LN_3_R1	CRUKP2378-LN_6_R2	CRUKP2378-LN_1_R1	CRUKP2378-LN_1_R3	CRUKP2378-SP_1_R1	CRUKP1047-LU_5_R1	CRUKP1047-LU_6_R1	CRUKP1047-LU_4_R1	CRUKP1047-LN_2_R1	CRUKP1047-LN_1_R1	CRUKP1047-LN_3_R1	CRUKP1047-BR_1_R1	CRUKP1047-AD_1_R1	CRUKP1047-AD_1_R2	CRUKP1047-MU_2_R2	CRUKP1047-SP_2_R1	CRUKP1047-MU_3_R1	CRUKP1047-THR_1_R1	CRUKP1047-MU_1_R2	CRUKP1047-MU_2_R1	CRUKP1047-SP_1_R1	CRUKP1047-LI_4_R1	CRUKP1047-LI_1_R1	CRUKP1047-AD_3_R2	CRUKP1047-AD_1_R4	CRUKP1047-AD_3_R1	CRUKP1047-MU_1_R1	CRUKP1047-BR_2_R1	CRUKP1047-BO_1_R1	CRUKP1047-AD_1_R3	CRUKP6170-PR_2_R2	CRUKP6170-PR_2_R3	CRUKP6170-PR_1_R1	CRUKP6170-PR_2_R5	CRUKP6170-PR_2_R1	CRUKP6170-LI_2_R1	CRUKP6170-LI_4_R1	CRUKP6170-LI_3_R3	CRUKP6170-LI_3_R1	CRUKP6170-LI_3_R2	CRUKP6170-PI_1_R1	CRUKP6170-PI_1_R2	CRUKP6170-LI_1_R1	CRUKP6170-LI_2_R2
BRAF-V600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRAF-non-V600	missense	missense	missense	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NRAS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	missense	NA	missense	NA	missense	missense	missense	missense	NA	missense	missense	NA	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense
KIT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	NA	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	splice	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_gained	stop_gained	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	NA	NA	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	missense	missense	missense	missense	missense	missense	missense	missense	NA	missense	NA	missense	missense	missense	missense	missense	missense	missense	NA	NA	missense	NA	NA	NA	NA	NA	missense	NA	missense	missense	NA	NA	NA	NA	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	splice	multi_variant	splice	splice	multi_variant	splice	splice	splice	splice	splice	NA	splice	NA	splice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
